comments,words
54,"['google', 'plus', 'crashing', 'it', 'aug', '30', '2013', 'had', 'remove', 'use', 'this', 'app', 'it', 'should', 'have', 'option', 'add', 'more', 'means', 'some', 'diets', 'can', 'spread', 'calories', 'over', 'meals', 'fat', 'percent', 'many', 'scales', 'will', 'provide', 'fat', 'percent', 'along', 'with', 'weight', 'it', 'would', 'be', 'nice', 'be', 'able', 'record', 'this', 'on', 'this', 'app', 'target', 'protein', 'carbs', 'fat', 'in', 'addition', 'target', 'calories', 'it', 'could', 'help', 'user', 'check', 'with', 'target', 'protein', 'for', 'example', 'suggest', 'foods', 'balance', 'carbs', 'protein', 'fat', 'reach', 'daily', 'goal']"
55,"['love', 'this', 'app', 'can', 'wait', 'for', 'ui', 'refresh', ""can't""]"
56,"['barcode', 'scanning', 'does', 'not', 'work', 'it', 'has', 'been', 'broken', 'for', 'while', 'it', 'works', 'fine', 'for', 'other', 'calorie', 'counters', 'but', 'this', 'my', 'favorite', 'app', 'rather', 'use', 'this', 'am', 'on', 'galaxy', 'nexus', 'running']"
57,"['anyone', 'experience', 'barcode', 'scanner', 'problem']"
58,"['love', 'pay', 'please', 'remove', 'adds', 'did', 'not', 'ask', 'for', 'that']"
59,"['love', 'this', 'app', 'but', 'please', 'change', 'name', 'back', 'calorie', 'counter']"
60,"['functions', 'well', 'except', 'for', 'force', 'closing', 'at', 'times', '#tip', 'macronutrient', 'ratios', 'shown', 'in', 'app', 'would', 'be', 'very', 'useful']"
61,"['mia', 'journal', 'feature', 'wants', 'ability', 'track', 'trainng', 'vs', 'rest', 'day', 'macronutrients', 'add', 'time', 'of', 'meal', 'track', 'ketostix', 'blood', 'sugar', 'levels', 'paid', 'version', 'kill', 'many', 'ads', 'ability', 'delete', 'unused', 'exercise', 'activities', 'put', 'exercises', 'in', 'order', 'of', 'use']"
62,"['app', 'looks', 'great', 'thanks', 'for', 'following', 'holo', 'ui', 'guidelines', 'what', 'be', 'nice', 'tho', 'which', 'would', 'be', 'handy', 'for', 'eu', 'citizens', 'living', 'near', 'borders', 'would', 'be', 'ability', 'for', 'app', 'search', 'in', 'multiple', 'national', 'food', 'databases', 'since', 'these', 'people', 'are', 'likely', 'shop', 'groceries', 'in', 'two', 'or', 'three', 'countries', ""what'd""]"
63,"['this', 'newest', 'update', 'shocking', 'having', 'plenty', 'of', 'issues', 'adding', 'foods', 'diary', ""i'm""]"
64,"['just', 'changed', 'from', 'stars', 'something', 'has', 'changed', 'recently', 'can', 'almost', 'never', 'scan', 'items', 'in', 'morning', 'app', 'crashes', 'lot', 'in', 'morning', 'don', 'know', 'if', 'they', 'are', 'doing', 'server', 'updates', 'every', 'morning', 'or', 'not', 'but', 'it', 'highly', 'annoying', 'being', 'able', 'enter', 'in', 'food', 'this', 'easy', 'makes', 'sure', 'will', 'accurately', 'track', 'both', 'food', 'exercise', 'easy', 'use', 'wish', 'it', 'could', 'only', 'change', 'my', 'rdi', 'from', 'this', 'point', 'on', 'like', 'saved', 'calendar', 'item', 'works', 'do', 'you', 'want', 'change', 'all', 'rdis', 'outer', 'only', 'from', 'this', 'point', 'on', ""don't""]"
65,"['find', 'myself', 'adding', 'lot', 'of', 'foods', 'myself', 'interface', 'for', 'that', 'fairly', 'easy', 'problem', 'can', 'find', 'way', 'edit', 'foods', 'that', 'entered', 'add', 'another', 'serving', 'size', 'or', 'fix', 'mistake', 'made', 'would', 'love', 'see', 'improvement', 'there', ""can't""]"
66,"['fat', 'secret', 'helped', 'me', 'watch', 'my', 'food', 'calories', 'every', 'day', 'feel', 'good', 'now', 'no', 'more', 'food', 'cheating', 'with', 'this', 'apps', 'thank', 'you', 'so', 'much']"
67,"['was', 'stars', 'then', 'phone', 'was', 'stuck', 'in', 'reboot', 'loop', 'due', 'upgrade', 'by', 'this', 'app', 'deleted', 'app', 'phone', 'now', 'fine', 'before', 'upgrade', 'trouble', 'loved', 'easy', 'ways', 'of', 'entering', 'foods', 'by', 'scanning', 'bar', 'code', 'or', 'searching', 'for', 'item', 'then', 'many', 'units', 'that', 'could', 'be', 'selected', 'made', 'calorie', 'count', 'easy', 'even', 'fun']"
